strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
586,9.0,17.0,310.0,23.0,8.0,986.0,270.0,596.0,15.0,355.0,21.0,31.0,361.0,17.0,18.0,1031.0,536.0,399.0,934.0,418.0,116.0
588,4.0,2.0,19.0,6.0,14.0,12.0,4.0,30.0,7.0,3.0,13.0,1.0,12.0,7.0,8.0,18.0,6.0,8.0,9.0,9.0,3.0
589,6.0,15.0,185.0,1.0,2.0,837.0,957.0,527.0,29.0,503.0,2.0,6.0,104.0,5.0,4.0,838.0,1150.0,467.0,421.0,503.0,100.0
590,5.0,5.0,66.0,10.0,3.0,306.0,52.0,160.0,8.0,154.0,9.0,1.0,20.0,6.0,2.0,241.0,90.0,90.0,262.0,120.0,31.0
596,0.0,1.0,1.0,2.0,2.0,10.0,8.0,24.0,16.0,8.0,0.0,0.0,4.0,7.0,1.0,25.0,15.0,9.0,19.0,10.0,3.0
598,1037.0,113.0,524.0,1990.0,1339.0,264.0,17.0,231.0,16.0,257.0,1928.0,483.0,555.0,2463.0,1740.0,269.0,133.0,172.0,330.0,208.0,85.0
599,1046.0,0.0,534.0,1110.0,970.0,1010.0,160.0,535.0,11.0,392.0,1295.0,38.0,422.0,1618.0,1767.0,574.0,139.0,434.0,514.0,322.0,124.0
599_ref1,6.0,7.0,64.0,3.0,1.0,1697.0,158.0,161.0,14.0,190.0,13.0,1.0,36.0,4.0,0.0,1003.0,32.0,109.0,184.0,187.0,1067.0
599_ref2,2.0,0.0,38.0,13.0,0.0,1623.0,20.0,263.0,13.0,114.0,16.0,0.0,21.0,6.0,0.0,1148.0,68.0,65.0,194.0,254.0,998.0
6,5.0,4.0,19.0,5.0,5.0,15.0,23.0,40.0,5.0,8.0,10.0,3.0,19.0,6.0,6.0,13.0,22.0,14.0,25.0,13.0,6.0
60,1051.0,0.0,360.0,844.0,364.0,1115.0,994.0,1487.0,38.0,897.0,1898.0,0.0,787.0,1522.0,449.0,603.0,2573.0,1110.0,797.0,372.0,156.0
61,0.0,0.0,4.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0
611,4.0,17.0,37.0,3.0,3.0,55.0,115.0,206.0,7.0,48.0,1.0,4.0,18.0,0.0,0.0,39.0,48.0,66.0,34.0,57.0,26.0
616,104.0,9.0,47.0,77.0,288.0,103.0,33.0,90.0,8.0,118.0,141.0,2.0,78.0,461.0,188.0,48.0,35.0,42.0,94.0,47.0,14.0
619,6.0,0.0,8.0,1.0,3.0,6.0,0.0,11.0,4.0,2.0,10.0,0.0,7.0,4.0,3.0,8.0,6.0,9.0,5.0,3.0,1.0
