strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
880,0.0,4.0,1.0,6.0,2.0,1.0,8.0,3.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,5.0,11,1.0,2.0
882,1.0,6.0,1.0,2.0,3.0,3.0,11.0,6.0,14.0,1.0,3.0,5.0,3.0,0.0,1.0,2.0,2.0,15.0,27,7.0,1.0
887,0.0,1.0,8.0,2.0,1.0,16.0,10.0,10.0,36.0,10.0,3.0,1.0,15.0,1.0,1.0,3.0,7.0,7.0,59,18.0,26.0
888,2093.0,223.0,2319.0,1814.0,697.0,972.0,118.0,578.0,1073.0,200.0,3753.0,245.0,1895.0,883.0,247.0,1170.0,69.0,1070.0,2066,422.0,116.0
89,413.0,557.0,131.0,258.0,786.0,222.0,181.0,61.0,84.0,48.0,751.0,420.0,111.0,172.0,346.0,142.0,480.0,174.0,113,192.0,142.0
892,1.0,0.0,2.0,2.0,2.0,12.0,7.0,3.0,10.0,3.0,2.0,0.0,5.0,1.0,2.0,20.0,48.0,6.0,18,60.0,7.0
897,2.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,2.0,0.0
904,1.0,3.0,3.0,12.0,6.0,17.0,47.0,14.0,30.0,10.0,5.0,2.0,3.0,4.0,3.0,38.0,3.0,6.0,50,55.0,17.0
91,839.0,92.0,613.0,598.0,1008.0,24.0,173.0,42.0,125.0,38.0,1256.0,75.0,314.0,177.0,536.0,37.0,32.0,84.0,142,66.0,14.0
911,293.0,17.0,1361.0,261.0,93.0,513.0,23.0,737.0,496.0,60.0,558.0,69.0,858.0,179.0,27.0,1072.0,13.0,273.0,1796,212.0,156.0
916,496.0,495.0,469.0,592.0,302.0,210.0,38.0,147.0,150.0,86.0,1270.0,503.0,322.0,239.0,200.0,225.0,220.0,115.0,187,222.0,89.0
923,2.0,11.0,3.0,0.0,0.0,106.0,9.0,22.0,75.0,21.0,1.0,0.0,3.0,0.0,0.0,115.0,19.0,28.0,677,38.0,37.0
