strain_id,A_MTX_5-FC.SNA4_GTR2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_noDrug.SNA4_GTR2,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Metformin.SNA4_GTR2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_noDrug.SNA4_GTR2,B_MTX_5-FC.SNA4_GTR2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Metformin.SNA4_GTR2,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_noDrug.SNA4_GTR2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.SNA4_GTR2
307,1.0,10.0,3.0,3.0,3.0,10.0,13.0,6.0,6.0,8.0,1.0,2.0,12,0.0,1.0,8.0,3.0,4.0,11.0,5.0,0.0
308,6.0,7.0,3.0,5.0,3.0,6.0,13.0,7.0,14.0,21.0,0.0,0.0,52,0.0,2.0,4.0,4.0,6.0,3.0,3.0,3.0
31,87.0,4.0,60.0,37.0,57.0,65.0,21.0,6.0,40.0,152.0,144.0,0.0,173,75.0,27.0,75.0,2.0,9.0,36.0,49.0,18.0
311,2.0,0.0,3.0,2.0,1.0,9.0,8.0,7.0,14.0,10.0,0.0,0.0,18,0.0,0.0,8.0,0.0,9.0,6.0,8.0,0.0
312,51.0,144.0,46.0,74.0,76.0,34.0,7.0,32.0,32.0,142.0,61.0,632.0,179,76.0,40.0,31.0,4.0,27.0,19.0,168.0,11.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,2,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0
320,616.0,207.0,1427.0,1204.0,757.0,314.0,404.0,925.0,676.0,973.0,833.0,130.0,10453,706.0,706.0,595.0,77.0,513.0,764.0,1467.0,100.0
323,5.0,8.0,2.0,5.0,7.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,4,3.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0
325,15.0,5.0,15.0,5.0,6.0,111.0,1.0,98.0,49.0,224.0,4.0,1.0,49,6.0,1.0,116.0,6.0,86.0,67.0,137.0,30.0
33,1.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,11.0,29.0,0.0,0.0,5,1.0,0.0,5.0,0.0,3.0,22.0,24.0,21.0
335,76.0,8.0,148.0,122.0,82.0,113.0,27.0,52.0,49.0,298.0,103.0,6.0,743,127.0,59.0,111.0,0.0,36.0,73.0,146.0,47.0
336,31.0,1.0,21.0,162.0,45.0,34.0,10.0,35.0,32.0,50.0,20.0,1.0,87,82.0,31.0,45.0,3.0,14.0,41.0,114.0,34.0
337,5.0,8.0,18.0,4.0,4.0,305.0,131.0,481.0,220.0,702.0,0.0,12.0,51,5.0,2.0,288.0,186.0,284.0,371.0,790.0,122.0
339,108.0,9.0,119.0,124.0,112.0,26.0,11.0,39.0,31.0,87.0,88.0,32.0,1513,89.0,81.0,46.0,7.0,3.0,47.0,80.0,16.0
347,3.0,3.0,4.0,1.0,1.0,73.0,17.0,78.0,34.0,145.0,2.0,0.0,30,4.0,1.0,114.0,7.0,33.0,44.0,83.0,49.0
348,2.0,6.0,0.0,2.0,3.0,22.0,23.0,14.0,7.0,40.0,0.0,2.0,20,4.0,0.0,18.0,1.0,7.0,7.0,19.0,16.0
350,958.0,969.0,373.0,1477.0,1072.0,119.0,89.0,151.0,150.0,240.0,894.0,1311.0,2432,1000.0,1037.0,225.0,157.0,137.0,305.0,231.0,80.0
354,1.0,0.0,7.0,5.0,2.0,20.0,21.0,30.0,38.0,80.0,2.0,0.0,51,0.0,0.0,34.0,9.0,29.0,70.0,63.0,16.0
358,2.0,0.0,2.0,7.0,6.0,6.0,5.0,5.0,7.0,15.0,0.0,1.0,34,2.0,2.0,7.0,1.0,3.0,7.0,30.0,0.0
359,62.0,3.0,17.0,67.0,100.0,12.0,41.0,4.0,12.0,9.0,33.0,0.0,89,423.0,328.0,9.0,0.0,5.0,5.0,8.0,2.0
36,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0
364,3.0,14.0,0.0,7.0,4.0,26.0,170.0,12.0,25.0,142.0,1.0,6.0,14,8.0,2.0,45.0,870.0,216.0,26.0,50.0,18.0
375,90.0,4.0,113.0,38.0,107.0,102.0,17807.0,98.0,46.0,210.0,31.0,0.0,826,71.0,103.0,236.0,8.0,105.0,134.0,146.0,48.0
383,4.0,43.0,11.0,2.0,1.0,36.0,11.0,18.0,18.0,14.0,1.0,1.0,32,3.0,2.0,51.0,8.0,20.0,15.0,16.0,7.0
385,3.0,102.0,5.0,0.0,1.0,4.0,8.0,2.0,9.0,7.0,0.0,16.0,12,0.0,0.0,4.0,6.0,0.0,0.0,3.0,0.0
392,2.0,7.0,8.0,5.0,7.0,166.0,32.0,153.0,253.0,380.0,1.0,5.0,27,1.0,3.0,261.0,106.0,163.0,233.0,503.0,40.0
397,3.0,0.0,4.0,3.0,1.0,7.0,2.0,6.0,9.0,9.0,1.0,1.0,16,4.0,0.0,9.0,0.0,6.0,9.0,7.0,4.0
399,17.0,144.0,19.0,11.0,22.0,283.0,64.0,156.0,145.0,267.0,12.0,40.0,63,30.0,4.0,252.0,42.0,93.0,367.0,375.0,37.0
40,3.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,3,6.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0
400,769.0,10.0,442.0,1296.0,711.0,251.0,55.0,314.0,341.0,525.0,615.0,2.0,3177,715.0,556.0,270.0,77.0,178.0,553.0,497.0,143.0
406,3.0,2.0,5.0,0.0,1.0,99.0,167.0,333.0,191.0,376.0,2.0,1.0,24,4.0,0.0,172.0,374.0,170.0,189.0,345.0,53.0
408,3.0,0.0,0.0,1.0,0.0,62.0,34.0,107.0,71.0,316.0,1.0,0.0,12,0.0,0.0,100.0,22.0,66.0,94.0,202.0,40.0
409,46.0,16.0,12.0,27.0,38.0,70.0,41.0,9.0,13.0,11.0,35.0,5.0,16,69.0,20.0,52.0,2.0,6.0,73.0,15.0,5.0
40_2,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2,3.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0
412,1.0,2.0,1.0,18.0,21.0,4.0,12.0,2.0,5.0,9.0,0.0,0.0,8,21.0,0.0,11.0,8.0,2.0,9.0,4.0,2.0
418,1.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,3.0,4.0,0.0,0.0,4,3.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0
419,3.0,4.0,21.0,2.0,6.0,116.0,5.0,159.0,87.0,254.0,1.0,2.0,51,5.0,1.0,118.0,16.0,78.0,118.0,263.0,25.0
420,1.0,1.0,1.0,4.0,0.0,46.0,9.0,13.0,29.0,79.0,0.0,1.0,8,0.0,0.0,71.0,9.0,7.0,20.0,49.0,10.0
421,409.0,126.0,290.0,483.0,263.0,52.0,8.0,83.0,74.0,173.0,148.0,27.0,1674,469.0,253.0,208.0,4.0,45.0,111.0,137.0,20.0
426,39.0,6.0,20.0,21.0,43.0,15.0,5.0,3.0,9.0,20.0,19.0,1.0,78,46.0,26.0,7.0,93.0,23.0,20.0,3.0,3.0
