strain_id,A_MTX_5-FC.ERG11_ORM2,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Metformin.ERG11_ORM2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_noDrug.ERG11_ORM2,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Metformin.ERG11_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_noDrug.ERG11_ORM2,B_MTX_5-FC.ERG11_ORM2,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_noDrug.ERG11_ORM2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.ERG11_ORM2
596,3.0,0.0,115.0,51.0,5.0,82.0,14.0,112.0,62.0,127.0,1.0,1.0,16.0,1.0,25.0,63.0,48.0,69.0,121.0,559.0,10.0
598,31.0,6.0,76.0,157.0,143.0,271.0,5380.0,156.0,209.0,252.0,48.0,2.0,114.0,56.0,360.0,167.0,36.0,74.0,215.0,292.0,25.0
599,2078.0,2.0,1293.0,3408.0,2439.0,596.0,5877.0,758.0,452.0,255.0,1072.0,21.0,776.0,1294.0,7511.0,400.0,242.0,254.0,417.0,1095.0,69.0
599_ref1,10.0,0.0,3.0,7.0,2.0,623.0,664.0,38.0,110.0,5.0,24.0,0.0,4.0,6.0,1.0,373.0,178.0,50.0,102.0,93.0,237.0
599_ref2,10.0,0.0,1.0,8.0,0.0,494.0,154.0,115.0,35.0,8.0,18.0,0.0,4.0,4.0,3.0,245.0,94.0,56.0,115.0,36.0,216.0
6,13.0,3.0,7.0,19.0,2.0,18.0,5.0,21.0,33.0,2.0,8.0,1.0,117.0,3.0,4.0,8.0,0.0,2.0,35.0,189.0,6.0
60,78.0,1.0,51.0,65.0,16.0,366.0,41.0,57.0,127.0,37.0,43.0,2.0,20.0,40.0,138.0,57.0,20.0,27.0,317.0,40.0,9.0
61,0.0,2.0,1.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0
611,5.0,7.0,27.0,8.0,3.0,110.0,94.0,54.0,22.0,51.0,4.0,2.0,1.0,0.0,3.0,131.0,11.0,79.0,71.0,80.0,22.0
616,590.0,5.0,490.0,2951.0,2117.0,564.0,305.0,503.0,313.0,528.0,453.0,41.0,613.0,783.0,8553.0,605.0,64.0,177.0,505.0,766.0,39.0
619,16.0,4.0,3.0,8.0,2.0,5.0,10.0,2.0,10.0,9.0,36.0,2.0,5.0,3.0,4.0,10.0,6.0,2.0,7.0,39.0,3.0
622,19.0,1.0,44.0,41.0,9.0,447.0,13.0,262.0,128.0,166.0,13.0,1.0,11.0,6.0,15.0,145.0,9.0,94.0,116.0,319.0,7.0
627,49.0,12.0,117.0,89.0,87.0,82.0,883.0,136.0,48.0,77.0,72.0,6.0,28.0,40.0,66.0,110.0,118.0,37.0,113.0,172.0,7.0
631,1500.0,12.0,608.0,2581.0,1747.0,1075.0,6476.0,821.0,667.0,953.0,887.0,69.0,703.0,1207.0,7503.0,836.0,247.0,366.0,1031.0,2286.0,36.0
632,45.0,7.0,135.0,746.0,83.0,478.0,31.0,179.0,183.0,435.0,26.0,2.0,202.0,45.0,312.0,576.0,10.0,66.0,178.0,750.0,16.0
636,3.0,0.0,54.0,45.0,5.0,490.0,6.0,224.0,102.0,136.0,2.0,0.0,61.0,4.0,14.0,421.0,9.0,56.0,240.0,394.0,12.0
638,6.0,3.0,6.0,21.0,10.0,18.0,11.0,11.0,2.0,12.0,11.0,2.0,1.0,12.0,10.0,25.0,1.0,1.0,23.0,24.0,2.0
639,32.0,4.0,23.0,109.0,29.0,299.0,102.0,86.0,94.0,527.0,34.0,1.0,13.0,22.0,84.0,259.0,8.0,40.0,143.0,152.0,8.0
64,29.0,2.0,60.0,41.0,82.0,18.0,125.0,28.0,73.0,58.0,23.0,3.0,31.0,68.0,99.0,33.0,12.0,15.0,92.0,58.0,6.0
640,12.0,3.0,23.0,30.0,32.0,61.0,8.0,48.0,26.0,43.0,9.0,4.0,20.0,13.0,40.0,21.0,6.0,6.0,22.0,30.0,10.0
642,422.0,26.0,381.0,2797.0,429.0,274.0,5438.0,142.0,78.0,123.0,184.0,22.0,459.0,667.0,2806.0,110.0,15.0,22.0,195.0,268.0,16.0
648,70.0,28.0,59.0,145.0,116.0,43.0,5.0,26.0,24.0,26.0,61.0,26.0,121.0,84.0,557.0,23.0,2422.0,552.0,12.0,75.0,10.0
649,441.0,15.0,427.0,882.0,442.0,440.0,58.0,186.0,245.0,153.0,427.0,7.0,229.0,380.0,662.0,789.0,4.0,98.0,299.0,361.0,27.0
65,4.0,6.0,1.0,4.0,15.0,0.0,8.0,2.0,4.0,2.0,7.0,1.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,13.0,1.0
651,65.0,1.0,102.0,27.0,44.0,339.0,6.0,164.0,124.0,387.0,93.0,0.0,146.0,34.0,49.0,281.0,128.0,80.0,162.0,613.0,14.0
652,98.0,80.0,268.0,397.0,231.0,114.0,25.0,250.0,202.0,175.0,181.0,24.0,188.0,134.0,338.0,172.0,37.0,106.0,273.0,333.0,46.0
653,17.0,84.0,31.0,139.0,52.0,24.0,17.0,67.0,50.0,46.0,13.0,19.0,20.0,29.0,79.0,32.0,25.0,30.0,57.0,298.0,5.0
657,195.0,1548.0,347.0,2125.0,586.0,247.0,216.0,469.0,500.0,229.0,275.0,241.0,208.0,522.0,1827.0,261.0,244.0,288.0,389.0,1379.0,29.0
658,124.0,499.0,73.0,167.0,226.0,4.0,9.0,38.0,5.0,134.0,237.0,0.0,2.0,124.0,231.0,39.0,2.0,3.0,5.0,19.0,13.0
66,15.0,10.0,138.0,10.0,0.0,100.0,1727.0,246.0,59.0,139.0,8.0,10.0,103.0,4.0,1.0,101.0,0.0,30.0,161.0,197.0,27.0
660,267.0,5.0,345.0,503.0,338.0,381.0,3552.0,348.0,198.0,430.0,111.0,2.0,35.0,182.0,1343.0,303.0,9.0,86.0,360.0,192.0,30.0
666,27.0,235.0,40.0,20.0,19.0,41.0,42.0,10.0,18.0,13.0,91.0,163.0,181.0,16.0,52.0,21.0,204.0,61.0,12.0,43.0,9.0
667,116.0,99.0,140.0,201.0,82.0,115.0,13.0,119.0,95.0,389.0,106.0,31.0,27.0,55.0,157.0,161.0,13.0,49.0,179.0,303.0,17.0
668,4.0,4.0,8.0,32.0,8.0,7.0,5.0,6.0,12.0,8.0,4.0,13.0,6.0,2.0,10.0,11.0,3.0,1.0,7.0,36.0,1.0
673,4490.0,22.0,6069.0,6862.0,4289.0,10320.0,10240.0,8076.0,7433.0,7566.0,3512.0,1777.0,5357.0,3177.0,13044.0,8222.0,489.0,4256.0,6745.0,13339.0,717.0
674,302.0,29.0,462.0,764.0,521.0,225.0,917.0,224.0,359.0,177.0,231.0,52.0,251.0,401.0,2749.0,219.0,50.0,194.0,237.0,486.0,28.0
676,218.0,127.0,453.0,813.0,915.0,441.0,44.0,269.0,282.0,224.0,311.0,14.0,861.0,303.0,1523.0,285.0,30.0,89.0,414.0,519.0,18.0
677,1.0,6.0,1.0,7.0,2.0,13.0,14.0,14.0,11.0,19.0,0.0,9.0,4.0,0.0,1.0,20.0,4.0,4.0,11.0,53.0,4.0
