strain_id,A_MTX_5-FC.HNM1_RBD2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Metformin.HNM1_RBD2,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_noDrug.HNM1_RBD2,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Metformin.HNM1_RBD2,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_noDrug.HNM1_RBD2,B_MTX_5-FC.HNM1_RBD2,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Metformin.HNM1_RBD2,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_noDrug.HNM1_RBD2,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.HNM1_RBD2
485,3.0,3.0,1.0,4.0,2.0,4.0,0.0,5.0,14.0,0.0,4.0,9.0,7.0,1.0,0.0,7.0,0.0,27.0,1.0,3.0,0.0
486,7.0,7.0,6.0,4.0,2.0,6.0,9.0,4.0,25.0,6.0,6.0,2.0,44.0,5.0,1.0,14.0,4.0,53.0,10.0,4.0,4.0
491,17.0,5.0,10.0,22.0,10.0,14.0,11.0,17.0,27.0,5.0,5.0,3.0,44.0,6.0,9.0,35.0,1.0,83.0,18.0,9.0,6.0
493,25.0,6.0,23.0,114.0,3.0,23.0,14.0,7.0,17.0,13.0,13.0,3.0,13.0,8.0,1.0,10.0,6.0,103.0,18.0,10.0,6.0
495,5.0,2.0,1.0,3.0,3.0,1028.0,120.0,363.0,606.0,260.0,1.0,0.0,10.0,4.0,0.0,3142.0,5.0,2558.0,1022.0,189.0,90.0
50,18.0,6.0,2.0,43.0,15.0,5.0,2.0,8.0,15.0,2.0,12.0,9.0,11.0,5.0,8.0,15.0,2.0,44.0,8.0,0.0,1.0
503,8.0,2.0,0.0,2.0,1.0,4.0,8.0,7.0,11.0,4.0,10.0,0.0,0.0,2.0,0.0,11.0,1.0,14.0,13.0,1.0,13.0
507,1.0,1.0,2.0,1.0,0.0,144.0,274.0,26.0,74.0,33.0,0.0,0.0,0.0,0.0,0.0,293.0,272.0,359.0,94.0,20.0,83.0
508,4.0,14.0,4.0,5.0,1.0,6.0,5.0,13.0,12.0,8.0,5.0,1.0,8.0,3.0,0.0,24.0,12.0,25.0,23.0,14.0,4.0
52,5.0,2.0,2.0,2.0,0.0,3.0,5.0,1.0,4.0,6.0,7.0,1.0,3.0,3.0,0.0,18.0,2.0,28.0,6.0,3.0,2.0
520,16.0,0.0,1.0,8.0,3.0,5.0,1.0,6.0,6.0,3.0,18.0,1.0,5.0,1.0,1.0,1.0,2.0,9.0,9.0,8.0,0.0
521,58.0,1.0,5.0,7.0,1.0,25.0,12.0,36.0,45.0,21.0,55.0,1.0,9.0,11.0,5.0,64.0,10.0,201.0,35.0,16.0,39.0
522,24.0,1.0,6.0,17.0,7.0,11.0,10.0,24.0,14.0,10.0,21.0,0.0,10.0,8.0,2.0,25.0,7.0,63.0,14.0,11.0,9.0
523,39241.0,492.0,3230.0,5482.0,75.0,1677.0,598.0,1233.0,1186.0,674.0,53505.0,655.0,2081.0,7742.0,7059.0,4886.0,1128.0,6080.0,1852.0,414.0,320.0
524,3084.0,231.0,163.0,113.0,6.0,935.0,992.0,160.0,1654.0,96.0,7525.0,135.0,590.0,249.0,7.0,4874.0,16.0,3006.0,595.0,44.0,111.0
525,357.0,2.0,253.0,91.0,68.0,68.0,233.0,59.0,63.0,16.0,600.0,140.0,134.0,71.0,13.0,176.0,252.0,405.0,95.0,35.0,34.0
531,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,1.0,3.0,0.0,10.0,1.0,4.0,0.0,2.0,0.0
