strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
897,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,21,3.0,0.0,0.0,0.0,1.0
904,2.0,0.0,0.0,10.0,0.0,31.0,7.0,29.0,145.0,1234.0,0.0,1.0,5.0,3.0,1.0,2262,17.0,13.0,12.0,83.0,44.0
91,64.0,129.0,33.0,32.0,42.0,32.0,11.0,71.0,59.0,133.0,32.0,35.0,63.0,136.0,90.0,319,25.0,10.0,22.0,44.0,21.0
911,591.0,2194.0,363.0,2731.0,466.0,71.0,208.0,159.0,527.0,781.0,729.0,4531.0,1180.0,1197.0,222.0,2339,482.0,258.0,51.0,84.0,66.0
916,189.0,1330.0,819.0,973.0,212.0,251.0,32.0,499.0,246.0,892.0,211.0,523.0,2985.0,1201.0,171.0,1696,83.0,195.0,55.0,164.0,65.0
923,1.0,9.0,2.0,2.0,0.0,93.0,23.0,52.0,62.0,336.0,0.0,3.0,4.0,1.0,1.0,1537,22.0,21.0,22.0,77.0,59.0
924,2.0,10.0,0.0,7.0,1.0,4.0,4.0,65.0,2.0,22.0,0.0,3.0,2.0,1.0,1.0,34,2.0,14.0,7.0,11.0,2.0
930,3.0,5.0,2.0,13.0,1.0,24.0,6.0,41.0,44.0,220.0,1.0,0.0,0.0,1.0,4.0,571,6.0,16.0,9.0,36.0,17.0
931,103.0,6.0,295.0,608.0,64.0,119.0,191.0,302.0,323.0,1148.0,217.0,264.0,1208.0,294.0,62.0,2357,217.0,174.0,54.0,103.0,82.0
933,9.0,6.0,9.0,30.0,7.0,4.0,13.0,8.0,15.0,26.0,7.0,2.0,10.0,2.0,12.0,46,3.0,6.0,5.0,2.0,0.0
936,114.0,81.0,126.0,554.0,54.0,151.0,25.0,134.0,256.0,540.0,89.0,6.0,340.0,414.0,119.0,1288,17.0,16.0,33.0,99.0,32.0
937,5.0,10.0,13.0,23.0,5.0,210.0,60.0,116.0,123.0,1157.0,1.0,0.0,4.0,0.0,9.0,2156,154.0,42.0,34.0,279.0,35.0
939,285.0,325.0,630.0,6741.0,870.0,142.0,48.0,204.0,293.0,968.0,402.0,23.0,1400.0,4187.0,973.0,2460,45.0,48.0,54.0,197.0,75.0
94,76.0,58.0,22.0,31.0,26.0,7.0,8.0,14.0,13.0,26.0,30.0,61.0,35.0,85.0,42.0,54,13.0,6.0,9.0,13.0,1.0
941,6.0,7.0,5.0,23.0,4.0,19.0,5.0,13.0,32.0,153.0,2.0,0.0,8.0,3.0,9.0,216,1.0,13.0,2.0,13.0,19.0
942,51.0,6.0,140.0,362.0,24.0,9.0,5.0,20.0,47.0,124.0,29.0,0.0,479.0,420.0,50.0,277,2.0,14.0,7.0,5.0,8.0
943,15.0,51.0,19.0,115.0,12.0,2.0,81.0,1.0,7.0,40.0,7.0,30.0,52.0,39.0,50.0,180,555.0,1.0,8.0,3.0,6.0
945,0.0,12.0,0.0,1.0,1.0,4.0,3.0,5.0,6.0,29.0,2.0,1.0,0.0,8.0,4.0,32,4.0,4.0,3.0,2.0,0.0
946,0.0,11.0,0.0,1.0,1.0,5.0,7.0,28.0,32.0,75.0,0.0,1.0,0.0,1.0,0.0,82,0.0,15.0,4.0,1.0,4.0
953,8.0,4.0,8.0,7.0,2.0,9.0,4.0,9.0,9.0,100.0,8.0,4.0,13.0,4.0,15.0,454,2.0,4.0,4.0,15.0,11.0
957,23.0,45.0,5.0,12.0,30.0,5.0,14.0,12.0,23.0,51.0,22.0,9.0,10.0,17.0,24.0,116,4.0,3.0,5.0,8.0,6.0
959,39.0,14.0,64.0,24.0,10.0,2244.0,632.0,1589.0,3206.0,21154.0,11.0,0.0,138.0,99.0,82.0,46646,37.0,559.0,669.0,4119.0,1507.0
