strain_id,A_MTX_5-FC.ALO1_HYR1,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_noDrug.ALO1_HYR1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Metformin.ALO1_HYR1,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_noDrug.ALO1_HYR1,B_MTX_5-FC.ALO1_HYR1,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Metformin.ALO1_HYR1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_noDrug.ALO1_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.ALO1_HYR1
738,3.0,5.0,14.0,4.0,8.0,115.0,1962.0,28.0,139.0,3.0,11.0,1.0,12.0,5.0,5.0,17.0,2324.0,56.0,192,72.0,75.0
739,39.0,2.0,27.0,24.0,26.0,1758.0,975.0,1724.0,3943.0,192.0,142.0,2.0,21.0,30.0,84.0,357.0,1197.0,2519.0,8978,2533.0,749.0
740,2.0,0.0,22.0,26.0,5.0,20.0,12.0,43.0,108.0,6.0,10.0,0.0,21.0,9.0,9.0,24.0,49.0,32.0,145,6.0,8.0
741,21.0,5.0,76.0,152.0,33.0,18.0,6.0,24.0,33.0,10.0,88.0,2.0,57.0,68.0,50.0,14.0,9.0,17.0,80,17.0,2.0
742,27.0,12.0,135.0,76.0,25.0,84.0,251.0,155.0,213.0,44.0,59.0,1.0,86.0,48.0,49.0,78.0,218.0,173.0,269,126.0,33.0
748,3.0,20.0,24.0,9.0,6.0,365.0,27.0,122.0,651.0,24.0,6.0,8.0,13.0,6.0,3.0,47.0,79.0,334.0,915,235.0,167.0
749,1.0,0.0,18.0,15.0,0.0,9.0,11.0,13.0,22.0,4.0,7.0,0.0,12.0,7.0,2.0,12.0,5.0,11.0,37,13.0,3.0
754,0.0,0.0,8.0,4.0,2.0,27.0,5.0,19.0,69.0,7.0,5.0,0.0,8.0,1.0,1.0,20.0,14.0,30.0,106,22.0,35.0
755,0.0,1.0,2.0,2.0,1.0,5.0,6.0,6.0,13.0,0.0,5.0,0.0,0.0,2.0,1.0,6.0,2.0,3.0,15,5.0,1.0
756,741.0,93.0,2861.0,2063.0,390.0,587.0,83.0,400.0,898.0,84.0,1600.0,87.0,2032.0,1926.0,1578.0,142.0,328.0,635.0,1793,505.0,351.0
760,1774.0,159.0,10377.0,4551.0,984.0,830.0,125.0,550.0,431.0,86.0,3473.0,206.0,7755.0,1356.0,2848.0,251.0,261.0,650.0,874,386.0,156.0
77,106.0,694.0,1534.0,470.0,38.0,380.0,96.0,162.0,116.0,37.0,430.0,104.0,1526.0,238.0,120.0,158.0,362.0,482.0,148,105.0,22.0
772,42.0,21.0,492.0,42.0,11.0,215.0,24.0,52.0,166.0,28.0,177.0,27.0,269.0,15.0,15.0,48.0,28.0,230.0,236,218.0,32.0
775,1.0,2.0,24.0,7.0,1.0,919.0,105.0,445.0,1004.0,161.0,4.0,1.0,36.0,5.0,0.0,399.0,61.0,1186.0,1784,907.0,248.0
778,542.0,17.0,956.0,582.0,216.0,637.0,18.0,343.0,821.0,52.0,1912.0,39.0,916.0,483.0,606.0,147.0,125.0,718.0,1329,536.0,121.0
78,0.0,0.0,4.0,3.0,0.0,81.0,16.0,32.0,55.0,15.0,0.0,0.0,4.0,2.0,0.0,21.0,9.0,59.0,82,90.0,28.0
782,0.0,1.0,14.0,1.0,2.0,401.0,178.0,551.0,320.0,56.0,3.0,0.0,11.0,2.0,1.0,130.0,138.0,977.0,757,486.0,144.0
783,413.0,481.0,120.0,105.0,87.0,91.0,4.0,25.0,81.0,3.0,1135.0,478.0,370.0,95.0,124.0,21.0,22.0,27.0,182,24.0,28.0
784,1.0,27.0,4.0,6.0,3.0,13.0,4.0,8.0,52.0,6.0,2.0,8.0,1.0,2.0,6.0,16.0,47.0,12.0,73,14.0,8.0
789,0.0,3.0,11.0,0.0,0.0,12.0,3.0,19.0,108.0,4.0,4.0,2.0,7.0,0.0,0.0,21.0,15.0,23.0,224,14.0,3.0
790,21.0,34.0,47.0,574.0,21.0,22.0,30.0,35.0,46.0,8.0,54.0,23.0,34.0,64.0,56.0,14.0,12.0,39.0,67,25.0,16.0
