strain_id,A_MTX_5-FC.ERG11_MID2,A_MTX_Fluconazole.ERG11_MID2,A_MTX_Metformin.ERG11_MID2,A_MTX_Trifluoperazine.ERG11_MID2,A_MTX_noDrug.ERG11_MID2,A_noMTX_5-FC.ERG11_MID2,A_noMTX_Fluconazole.ERG11_MID2,A_noMTX_Metformin.ERG11_MID2,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_noDrug.ERG11_MID2,B_MTX_5-FC.ERG11_MID2,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Metformin.ERG11_MID2,B_MTX_Trifluoperazine.ERG11_MID2,B_MTX_noDrug.ERG11_MID2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Metformin.ERG11_MID2,B_noMTX_Trifluoperazine.ERG11_MID2,B_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERG11_MID2
739,58.0,34.0,174.0,21.0,69.0,1023.0,43.0,1077.0,873.0,558.0,56.0,57.0,140.0,33.0,19.0,887.0,299.0,1390.0,1206.0,1304.0,775.0
740,16.0,12.0,22.0,18.0,21.0,28.0,5.0,44.0,44.0,4.0,21.0,0.0,29.0,7.0,3.0,19.0,18.0,99.0,14.0,41.0,7.0
741,146.0,12.0,21.0,85.0,273.0,28.0,4.0,24.0,69.0,13.0,76.0,6.0,70.0,42.0,30.0,26.0,6.0,82.0,28.0,31.0,19.0
742,93.0,244.0,191.0,86.0,296.0,758.0,1035.0,526.0,1128.0,380.0,117.0,269.0,287.0,67.0,40.0,614.0,420.0,1028.0,1006.0,844.0,174.0
748,13.0,18.0,44.0,10.0,49.0,109.0,7.0,111.0,167.0,57.0,55.0,2.0,66.0,12.0,2.0,137.0,20.0,93.0,76.0,139.0,48.0
749,15.0,18.0,12.0,6.0,13.0,205.0,7.0,84.0,172.0,53.0,18.0,264.0,12.0,4.0,6.0,131.0,44.0,97.0,43.0,188.0,17.0
754,13.0,8.0,42.0,4.0,7.0,55.0,1.0,117.0,43.0,46.0,5.0,9.0,24.0,1.0,0.0,55.0,0.0,115.0,33.0,93.0,35.0
755,2.0,1.0,1.0,2.0,5.0,13.0,3.0,11.0,13.0,3.0,2.0,2.0,0.0,1.0,1.0,9.0,2.0,23.0,6.0,6.0,3.0
756,1146.0,353.0,1424.0,2873.0,6203.0,1065.0,139.0,938.0,767.0,417.0,2575.0,103.0,841.0,1790.0,994.0,512.0,182.0,1533.0,791.0,1225.0,420.0
760,1024.0,166.0,911.0,453.0,1644.0,462.0,222.0,640.0,385.0,253.0,763.0,29.0,916.0,555.0,389.0,293.0,50.0,664.0,184.0,611.0,64.0
77,329.0,711.0,281.0,238.0,784.0,747.0,172.0,291.0,479.0,184.0,583.0,1677.0,420.0,146.0,113.0,331.0,216.0,302.0,315.0,419.0,45.0
772,119.0,69.0,30.0,49.0,174.0,82.0,398.0,58.0,101.0,38.0,63.0,13.0,97.0,41.0,21.0,33.0,35.0,125.0,128.0,69.0,10.0
775,20.0,76.0,105.0,5.0,11.0,526.0,38.0,377.0,560.0,113.0,29.0,26.0,208.0,4.0,11.0,409.0,9.0,357.0,275.0,321.0,87.0
778,697.0,77.0,495.0,441.0,1006.0,1110.0,9.0,821.0,1285.0,334.0,1563.0,16.0,374.0,428.0,193.0,731.0,13.0,693.0,1080.0,702.0,121.0
78,2.0,2.0,2.0,0.0,6.0,111.0,2.0,41.0,113.0,46.0,1.0,0.0,2.0,2.0,3.0,94.0,2.0,70.0,30.0,46.0,15.0
782,5.0,9.0,57.0,4.0,5.0,97.0,12.0,91.0,114.0,42.0,7.0,1.0,37.0,2.0,0.0,165.0,49.0,254.0,34.0,187.0,22.0
783,1263.0,936.0,519.0,908.0,3552.0,309.0,153.0,255.0,339.0,196.0,1895.0,32595.0,222.0,708.0,587.0,198.0,59.0,360.0,165.0,288.0,54.0
784,2.0,18.0,4.0,1.0,7.0,324.0,3.0,54.0,117.0,86.0,5.0,10.0,3.0,2.0,0.0,153.0,283.0,216.0,167.0,171.0,21.0
789,11.0,0.0,45.0,12.0,13.0,246.0,5.0,209.0,132.0,93.0,101.0,8.0,30.0,15.0,4.0,66.0,6.0,414.0,97.0,225.0,180.0
790,41.0,257.0,55.0,58.0,148.0,292.0,620.0,313.0,257.0,90.0,74.0,1445.0,68.0,28.0,32.0,256.0,335.0,234.0,246.0,225.0,111.0
791,35.0,78.0,22.0,62.0,181.0,49.0,8.0,54.0,72.0,25.0,33.0,25.0,32.0,20.0,21.0,20.0,11.0,44.0,29.0,53.0,15.0
795,1243.0,49.0,5997.0,718.0,1207.0,4432.0,799.0,5333.0,4128.0,2796.0,3044.0,292.0,6505.0,347.0,157.0,3074.0,728.0,8875.0,3060.0,5905.0,690.0
796,7.0,810.0,100.0,21.0,23.0,508.0,144.0,359.0,1046.0,233.0,53.0,273.0,61.0,11.0,5.0,388.0,209.0,529.0,728.0,426.0,74.0
797,1.0,12.0,6.0,3.0,15.0,8.0,2.0,8.0,18.0,14.0,4.0,3.0,4.0,3.0,1.0,19.0,3.0,14.0,9.0,10.0,2.0
798,59.0,383.0,195.0,17.0,61.0,2609.0,101.0,2603.0,2812.0,1333.0,279.0,12.0,286.0,9.0,0.0,2374.0,139.0,1794.0,1516.0,1804.0,217.0
800,6.0,27.0,3.0,0.0,6.0,13.0,2.0,4.0,24.0,0.0,3.0,5.0,2.0,1.0,2.0,5.0,7.0,23.0,5.0,5.0,2.0
801,65.0,3746.0,14.0,119.0,223.0,36.0,179.0,20.0,114.0,11.0,180.0,8262.0,15.0,92.0,35.0,14.0,57.0,22.0,74.0,42.0,126.0
803,13.0,1.0,4.0,11.0,1.0,67.0,5.0,171.0,100.0,52.0,1.0,0.0,15.0,2.0,0.0,41.0,4.0,95.0,51.0,103.0,22.0
804,94.0,2201.0,261.0,153.0,489.0,113.0,13.0,107.0,140.0,59.0,191.0,239.0,134.0,65.0,48.0,128.0,9.0,147.0,91.0,109.0,20.0
805,6.0,876.0,22.0,46.0,34.0,120.0,11.0,45.0,48.0,31.0,81.0,19.0,4.0,21.0,7.0,56.0,7.0,148.0,84.0,36.0,10.0
807,1.0,1.0,6.0,0.0,4.0,60.0,1.0,42.0,36.0,19.0,4.0,6.0,46.0,2.0,0.0,15.0,1.0,58.0,58.0,30.0,6.0
808,33.0,76.0,53.0,44.0,90.0,181.0,35.0,145.0,244.0,53.0,73.0,19.0,55.0,19.0,12.0,67.0,4.0,98.0,87.0,158.0,42.0
809,332.0,32.0,515.0,168.0,1552.0,446.0,11.0,375.0,554.0,211.0,899.0,15.0,540.0,99.0,198.0,355.0,15.0,559.0,373.0,397.0,81.0
81,200.0,197.0,61.0,81.0,274.0,255.0,10.0,180.0,95.0,86.0,355.0,31.0,179.0,58.0,43.0,105.0,233.0,308.0,85.0,217.0,40.0
811,11.0,236.0,14.0,45.0,39.0,183.0,246.0,64.0,59.0,30.0,108.0,22.0,13.0,28.0,9.0,48.0,5.0,64.0,69.0,89.0,13.0
812,1.0,8.0,0.0,3.0,12.0,16.0,5.0,33.0,32.0,6.0,4.0,1.0,12.0,1.0,2.0,12.0,5.0,11.0,6.0,13.0,5.0
813,39.0,156.0,49.0,98.0,259.0,216.0,351.0,189.0,356.0,65.0,60.0,93.0,33.0,73.0,22.0,148.0,229.0,222.0,324.0,92.0,33.0
819,9.0,178.0,151.0,26.0,22.0,1181.0,22.0,275.0,404.0,316.0,38.0,10.0,122.0,9.0,3.0,542.0,149.0,466.0,545.0,396.0,75.0
821,11.0,37.0,16.0,5.0,43.0,120.0,1808.0,85.0,173.0,27.0,7.0,4.0,9.0,1.0,0.0,80.0,10.0,97.0,105.0,104.0,34.0
823,31.0,48.0,35.0,40.0,193.0,92.0,96.0,80.0,124.0,67.0,58.0,59.0,39.0,36.0,25.0,63.0,24.0,71.0,95.0,92.0,24.0
830,1.0,3.0,0.0,1.0,2.0,3.0,3.0,11.0,14.0,4.0,0.0,3.0,2.0,1.0,0.0,9.0,1.0,9.0,4.0,7.0,1.0
833,13.0,144.0,13.0,36.0,149.0,166.0,73.0,82.0,81.0,67.0,62.0,228.0,27.0,13.0,40.0,80.0,7.0,264.0,35.0,136.0,17.0
835,44.0,148.0,27.0,54.0,135.0,49.0,3.0,74.0,39.0,21.0,188.0,8.0,22.0,34.0,10.0,47.0,3.0,112.0,37.0,25.0,44.0
837,267.0,31.0,297.0,229.0,534.0,1038.0,263.0,598.0,874.0,310.0,718.0,4.0,235.0,85.0,122.0,888.0,58.0,655.0,608.0,1082.0,150.0
838,41545.0,24457.0,43800.0,51841.0,198267.0,16526.0,3581.0,17295.0,13092.0,9331.0,94228.0,30421.0,33531.0,39511.0,29619.0,7021.0,1886.0,29587.0,12357.0,21533.0,4818.0
839,16.0,11.0,36.0,52.0,233.0,101.0,9.0,108.0,82.0,68.0,30.0,4.0,26.0,23.0,28.0,155.0,5.0,292.0,75.0,112.0,13.0
841,219.0,3895.0,101.0,1629.0,425.0,186.0,85.0,60.0,307.0,49.0,316.0,6700.0,60.0,224.0,124.0,129.0,25.0,106.0,174.0,125.0,128.0
842,344.0,3034.0,228.0,492.0,1270.0,357.0,31.0,206.0,350.0,100.0,436.0,67.0,550.0,497.0,232.0,269.0,29.0,235.0,209.0,264.0,79.0
843,78.0,4360.0,190.0,33.0,100.0,4031.0,13608.0,3787.0,5941.0,1079.0,201.0,2709.0,263.0,31.0,6.0,3388.0,1366.0,4490.0,2551.0,3152.0,1053.0
848,75.0,18.0,46.0,66.0,229.0,69.0,3.0,96.0,90.0,42.0,59.0,8.0,130.0,25.0,24.0,71.0,257.0,72.0,39.0,124.0,28.0
850,145.0,1274.0,559.0,22.0,108.0,2246.0,2984.0,1343.0,2913.0,550.0,215.0,403.0,600.0,44.0,15.0,1406.0,955.0,2389.0,2294.0,1467.0,372.0
853,910.0,153.0,303.0,992.0,5966.0,1109.0,36.0,503.0,928.0,343.0,4465.0,387.0,793.0,901.0,443.0,583.0,265.0,1017.0,889.0,773.0,514.0
854,20.0,7.0,42.0,1.0,14.0,53.0,92.0,30.0,16.0,15.0,11.0,10.0,16.0,2.0,0.0,28.0,31.0,45.0,32.0,41.0,20.0
857,40.0,48.0,266.0,26.0,89.0,7173.0,1030.0,5780.0,5624.0,3710.0,161.0,674.0,1917.0,21.0,9.0,1577.0,2162.0,19068.0,6224.0,4696.0,1148.0
859,266.0,59.0,176.0,639.0,761.0,247.0,521.0,236.0,267.0,121.0,567.0,17.0,100.0,254.0,108.0,88.0,294.0,284.0,239.0,274.0,92.0
860,29.0,277.0,35.0,68.0,326.0,146.0,13.0,108.0,123.0,38.0,76.0,9.0,72.0,52.0,22.0,64.0,22.0,195.0,130.0,95.0,33.0
862,101.0,54.0,66.0,262.0,1065.0,85.0,18.0,114.0,200.0,16.0,223.0,10.0,82.0,102.0,67.0,72.0,7.0,153.0,49.0,97.0,21.0
868,58.0,15.0,107.0,137.0,295.0,89.0,1.0,153.0,206.0,69.0,82.0,57.0,70.0,85.0,35.0,81.0,113.0,147.0,220.0,134.0,60.0
869,125.0,0.0,115.0,50.0,101.0,316.0,9.0,59.0,135.0,28.0,394.0,1.0,44.0,23.0,30.0,110.0,15.0,117.0,62.0,108.0,20.0
