strain_id,A_MTX_5-FC.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Metformin.ERG11_ERG5,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_noDrug.ERG11_ERG5,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Metformin.ERG11_ERG5,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_noDrug.ERG11_ERG5,B_MTX_5-FC.ERG11_ERG5,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Metformin.ERG11_ERG5,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_noDrug.ERG11_ERG5,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.ERG11_ERG5
52,6.0,1.0,15.0,21.0,11.0,7.0,54.0,8.0,12.0,44.0,11.0,1.0,10.0,16.0,4.0,17.0,8.0,10.0,10.0,16.0,6.0
520,1.0,3.0,3.0,18.0,2.0,3.0,1.0,3.0,23.0,25.0,9.0,0.0,9.0,1.0,1.0,6.0,1.0,5.0,10.0,3.0,4.0
521,9.0,14.0,22.0,30.0,6.0,30.0,19.0,17.0,61.0,64.0,1.0,6.0,24.0,2.0,4.0,26.0,11.0,35.0,54.0,23.0,24.0
522,41.0,20.0,74.0,31.0,12.0,34.0,65.0,14.0,59.0,120.0,8.0,28.0,45.0,12.0,7.0,43.0,133.0,58.0,25.0,73.0,12.0
523,3629.0,1473.0,4659.0,5029.0,5207.0,2665.0,4457.0,1519.0,1905.0,5946.0,2186.0,1786.0,4128.0,2901.0,1145.0,4820.0,431.0,1861.0,1778.0,4102.0,399.0
524,36.0,449.0,33.0,104.0,122.0,36.0,18.0,36.0,61.0,87.0,75.0,17.0,46.0,25.0,4.0,57.0,18.0,38.0,38.0,41.0,24.0
525,285.0,7.0,92.0,179.0,474.0,218.0,15.0,173.0,157.0,341.0,114.0,8.0,254.0,176.0,45.0,127.0,15.0,99.0,131.0,168.0,36.0
531,5.0,21.0,7.0,4.0,5.0,125.0,73.0,247.0,44.0,157.0,10.0,4.0,1.0,1.0,1.0,133.0,31.0,35.0,35.0,96.0,20.0
532,5.0,13.0,2.0,14.0,6.0,4.0,8.0,5.0,8.0,18.0,2.0,5.0,2.0,2.0,0.0,5.0,3.0,4.0,4.0,5.0,2.0
535,200.0,2358.0,99.0,170.0,106.0,314.0,187.0,898.0,136.0,422.0,74.0,36.0,133.0,75.0,27.0,686.0,858.0,279.0,110.0,213.0,127.0
538,634.0,335.0,349.0,666.0,940.0,427.0,1921.0,415.0,374.0,581.0,422.0,399.0,447.0,488.0,141.0,434.0,2869.0,794.0,592.0,422.0,48.0
539,431.0,2858.0,540.0,994.0,1128.0,514.0,1364.0,736.0,221.0,1028.0,174.0,3323.0,1119.0,284.0,201.0,582.0,2528.0,800.0,251.0,719.0,107.0
540,1398.0,875.0,290.0,1039.0,1344.0,402.0,786.0,260.0,368.0,426.0,603.0,317.0,513.0,908.0,183.0,399.0,415.0,369.0,427.0,474.0,133.0
541,10.0,12.0,10.0,22.0,5.0,19.0,8.0,26.0,5.0,21.0,3.0,9.0,20.0,27.0,1.0,21.0,11.0,56.0,23.0,54.0,3.0
543,3.0,2.0,2.0,9.0,0.0,11.0,41.0,22.0,8.0,16.0,0.0,4.0,7.0,1.0,1.0,8.0,39.0,8.0,6.0,2.0,17.0
545,67.0,1474.0,149.0,194.0,295.0,155.0,2567.0,145.0,61.0,196.0,46.0,677.0,113.0,86.0,20.0,80.0,1179.0,320.0,72.0,157.0,31.0
546,43.0,15.0,223.0,84.0,25.0,399.0,440.0,252.0,137.0,348.0,35.0,6.0,89.0,24.0,2.0,237.0,901.0,309.0,161.0,146.0,41.0
557,25.0,954.0,39.0,116.0,78.0,51.0,3.0,20.0,50.0,96.0,38.0,2.0,34.0,24.0,8.0,50.0,16.0,41.0,36.0,113.0,19.0
559,16.0,20.0,16.0,21.0,5.0,4.0,4.0,3.0,17.0,29.0,4.0,44.0,14.0,1.0,0.0,3.0,38.0,13.0,3.0,3.0,2.0
564,34.0,98.0,20.0,29.0,20.0,23.0,113.0,44.0,16.0,40.0,7.0,204.0,11.0,10.0,10.0,17.0,14.0,20.0,25.0,21.0,13.0
567,136.0,40.0,215.0,259.0,286.0,173.0,21.0,303.0,76.0,411.0,97.0,568.0,228.0,132.0,101.0,150.0,18.0,86.0,102.0,272.0,53.0
57,5.0,3.0,13.0,8.0,2.0,57.0,94.0,16.0,21.0,34.0,2.0,1.0,3.0,1.0,1.0,48.0,4.0,10.0,31.0,6.0,25.0
571,87.0,161.0,30.0,34.0,61.0,78.0,37.0,173.0,30.0,42.0,10.0,2.0,37.0,40.0,3.0,146.0,29.0,40.0,53.0,28.0,16.0
574,11.0,5.0,54.0,12.0,5.0,47.0,3.0,95.0,20.0,84.0,4.0,8.0,22.0,2.0,0.0,50.0,6.0,22.0,7.0,31.0,14.0
576,4.0,35.0,13.0,23.0,11.0,13.0,4.0,10.0,22.0,23.0,11.0,9.0,5.0,6.0,2.0,7.0,19.0,32.0,14.0,4.0,6.0
578,1150.0,24646.0,522.0,2062.0,2861.0,849.0,5742.0,394.0,551.0,1358.0,1020.0,10636.0,856.0,1243.0,300.0,866.0,3114.0,1005.0,988.0,1162.0,205.0
58,1.0,1.0,1.0,5.0,1.0,5.0,6.0,6.0,21.0,15.0,2.0,2.0,4.0,3.0,0.0,3.0,6.0,17.0,15.0,4.0,8.0
581,5.0,38.0,11.0,27.0,4.0,41.0,10.0,22.0,37.0,51.0,2.0,16.0,11.0,1.0,0.0,48.0,6.0,17.0,17.0,45.0,8.0
586,24.0,34.0,41.0,60.0,49.0,89.0,8.0,85.0,41.0,176.0,14.0,20.0,62.0,14.0,16.0,168.0,4.0,63.0,39.0,80.0,38.0
588,6.0,11.0,29.0,93.0,13.0,14.0,3.0,13.0,46.0,125.0,2.0,4.0,28.0,5.0,1.0,10.0,4.0,14.0,13.0,17.0,4.0
589,84.0,243.0,226.0,26.0,36.0,145.0,119.0,105.0,100.0,309.0,36.0,1945.0,54.0,18.0,5.0,343.0,814.0,318.0,104.0,206.0,26.0
590,19.0,32.0,21.0,32.0,9.0,43.0,337.0,162.0,28.0,88.0,16.0,18.0,38.0,6.0,4.0,65.0,579.0,152.0,24.0,33.0,12.0
596,53.0,6.0,298.0,152.0,54.0,79.0,6.0,683.0,109.0,471.0,7.0,1.0,176.0,81.0,17.0,289.0,17.0,359.0,412.0,473.0,131.0
598,422.0,244.0,256.0,630.0,414.0,403.0,288.0,407.0,206.0,532.0,193.0,265.0,288.0,295.0,86.0,351.0,511.0,306.0,152.0,248.0,69.0
599,1037.0,1.0,388.0,994.0,1310.0,504.0,40.0,302.0,376.0,663.0,400.0,25.0,972.0,696.0,170.0,516.0,18.0,265.0,391.0,450.0,99.0
599_ref1,32.0,3.0,18.0,6.0,2.0,115.0,167.0,30.0,188.0,1177.0,12.0,0.0,29.0,4.0,2.0,163.0,160.0,101.0,155.0,751.0,428.0
599_ref2,10.0,2.0,9.0,5.0,2.0,122.0,149.0,17.0,65.0,700.0,4.0,1.0,5.0,0.0,1.0,98.0,25.0,67.0,98.0,604.0,413.0
6,2.0,11.0,6.0,7.0,5.0,6.0,7.0,13.0,11.0,22.0,0.0,3.0,5.0,2.0,2.0,7.0,10.0,11.0,11.0,9.0,5.0
60,689.0,42.0,316.0,1547.0,839.0,457.0,13.0,114.0,569.0,534.0,615.0,0.0,200.0,776.0,86.0,303.0,9.0,340.0,601.0,418.0,34.0
61,3.0,1.0,0.0,7.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
