strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
642,163.0,144.0,103.0,210.0,232.0,24.0,8.0,34.0,183.0,18.0,52.0,58.0,63.0,58.0,788.0,51.0,12.0,37.0,22.0,119.0,9.0
648,25.0,23.0,14.0,29.0,22.0,51.0,7.0,40.0,43.0,9.0,60.0,7.0,6.0,6.0,83.0,33.0,29.0,16.0,9.0,25.0,20.0
649,2817.0,51.0,2163.0,2826.0,2467.0,530.0,15.0,366.0,822.0,274.0,741.0,6.0,731.0,979.0,6264.0,764.0,10.0,304.0,530.0,360.0,92.0
65,4.0,11.0,0.0,12.0,16.0,6.0,4.0,20.0,13.0,2.0,2.0,0.0,1.0,10.0,12.0,4.0,5.0,6.0,5.0,3.0,0.0
651,27.0,1.0,27.0,125.0,49.0,95.0,8.0,68.0,169.0,44.0,45.0,1.0,39.0,13.0,499.0,89.0,7.0,61.0,98.0,125.0,10.0
652,393.0,72.0,356.0,725.0,586.0,69.0,21.0,144.0,207.0,78.0,179.0,2.0,120.0,302.0,788.0,131.0,56.0,77.0,126.0,152.0,75.0
653,3.0,25.0,9.0,36.0,26.0,16.0,24.0,33.0,56.0,14.0,9.0,8.0,14.0,4.0,98.0,21.0,25.0,28.0,15.0,20.0,4.0
657,523.0,45.0,1479.0,779.0,624.0,207.0,47.0,545.0,411.0,245.0,162.0,16.0,83.0,193.0,2204.0,360.0,28.0,210.0,260.0,686.0,53.0
658,25.0,8.0,12.0,11.0,10.0,11.0,5.0,3.0,7.0,4.0,9.0,5.0,0.0,9.0,18.0,12.0,0.0,9.0,4.0,6.0,7.0
66,1.0,1.0,1.0,2.0,3.0,3.0,10.0,0.0,7.0,5.0,5.0,7.0,3.0,1.0,13.0,11.0,1.0,3.0,1.0,2.0,2.0
660,71.0,9.0,249.0,92.0,103.0,256.0,24.0,146.0,170.0,77.0,24.0,4.0,33.0,34.0,556.0,105.0,6.0,79.0,111.0,95.0,64.0
666,334.0,129.0,188.0,227.0,408.0,55.0,16.0,59.0,145.0,111.0,135.0,74.0,104.0,84.0,807.0,237.0,16.0,99.0,99.0,76.0,29.0
667,1350.0,46.0,630.0,1178.0,1452.0,291.0,21.0,226.0,363.0,227.0,346.0,27.0,240.0,708.0,1294.0,303.0,11.0,163.0,361.0,393.0,48.0
668,9.0,31.0,15.0,70.0,18.0,7.0,6.0,9.0,41.0,7.0,8.0,10.0,3.0,3.0,179.0,16.0,2.0,4.0,5.0,7.0,2.0
673,24123.0,169.0,26723.0,29854.0,12387.0,12388.0,5184.0,17155.0,13538.0,7386.0,10047.0,20.0,4414.0,9189.0,48153.0,13208.0,261.0,5668.0,8120.0,8574.0,2548.0
674,357.0,2060.0,1441.0,486.0,366.0,291.0,9.0,418.0,298.0,156.0,180.0,25.0,301.0,250.0,1328.0,214.0,97.0,131.0,133.0,350.0,76.0
676,168.0,10.0,312.0,256.0,375.0,813.0,130.0,381.0,576.0,268.0,139.0,7.0,94.0,161.0,1059.0,271.0,19.0,150.0,332.0,326.0,59.0
677,1.0,0.0,3.0,2.0,0.0,8.0,19.0,15.0,28.0,5.0,0.0,2.0,1.0,0.0,6.0,10.0,3.0,10.0,5.0,6.0,2.0
683,3.0,1.0,4.0,8.0,4.0,14.0,1.0,16.0,35.0,16.0,1.0,0.0,0.0,0.0,34.0,11.0,9.0,11.0,6.0,12.0,8.0
685,10.0,46.0,750.0,5.0,0.0,285.0,209.0,589.0,500.0,705.0,0.0,12.0,229.0,1.0,8.0,337.0,71.0,319.0,279.0,552.0,105.0
